timestamp,device_label,board,machine,model,weights_mb,imgsz,format,device,threads,n_frames,status,error,fps_mean,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_min_ms,lat_max_ms,pre_ms,inf_ms,post_ms,rss_peak_mb,temp_start_c,temp_end_c,freq_start_mhz,freq_end_mhz,throttled_flags,torch_version,ultralytics_version
2026-08-14T12:35:58+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolov8n.pt,6.246,320,pytorch,cpu,4,250,ok,,13.914,71.872,74.379,89.356,102.562,52.56,106.247,1.311,69.46,0.786,995.969,56.75,66.1,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:36:24+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolov8n.pt,6.246,416,pytorch,cpu,4,250,ok,,9.415,106.219,111.921,126.128,141.822,69.431,153.567,1.659,103.284,0.945,1037.406,63.35,71.05,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:36:58+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolov8n.pt,6.246,512,pytorch,cpu,4,250,ok,,6.642,150.555,165.001,186.854,214.328,96.889,222.633,2.206,146.738,1.159,1072.562,66.1,74.35,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:37:49+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolov8n.pt,6.246,640,pytorch,cpu,4,250,ok,,4.569,218.849,238.724,271.028,281.824,139.721,292.887,3.052,214.044,1.408,1075.75,66.65,76.0,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:38:58+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolo11n.pt,5.354,320,pytorch,cpu,4,250,ok,,12.974,77.079,80.111,88.65,111.224,56.222,137.662,1.36,74.58,0.816,1065.016,64.45,69.95,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:39:29+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolo11n.pt,5.354,416,pytorch,cpu,4,250,ok,,8.782,113.872,121.198,143.149,164.079,79.041,175.295,1.645,110.93,0.965,1081.781,62.8,71.05,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:40:06+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolo11n.pt,5.354,512,pytorch,cpu,4,250,ok,,6.132,163.07,179.144,198.554,219.941,102.202,226.735,2.226,159.355,1.152,1066.984,68.3,72.15,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:41:00+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolo11n.pt,5.354,640,pytorch,cpu,4,250,ok,,4.18,239.232,259.409,291.233,309.338,151.787,418.879,3.111,234.201,1.436,1111.641,66.65,72.15,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:42:15+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolo26n.pt,5.288,320,pytorch,cpu,4,250,ok,,12.67,78.927,82.688,96.586,115.316,56.207,133.371,1.284,77.027,0.292,1074.328,63.9,69.4,2400.0,2400.0,,2.13.0+cpu,8.4.118
2026-08-14T12:42:42+00:00,Raspberry Pi 5 Model B Rev 1.1,Raspberry Pi 5 Model B Rev 1.1,aarch64,yolo26n.pt,5.288,416,pytorch,cpu,4,250,ok,,8.676,115.264,122.066,143.222,156.065,80.805,173.95,1.561,113.054,0.304,1068.578,67.2,71.05,2400.0,2400.0,,2.13.0+cpu,8.4.118
